nome,cpf,telefone,email,rua,numero,complemento,bairro,cidade,estado,profissao,renda,status
Yasmin Ester Lara Nogueira,040.141.961-43,(61) 98439-7036,yasminesternogueira@munhozengenharia.com.br,Quadra QS 20 Conjunto 2,669,ap 175,Riacho Fundo II,Brasília,DF,Engenheira,9168,ATIVO
Marlene Valentina da Paz,296.303.821-64,(61) 99744-3053,marlenevalentinadapaz@gmapst.com,Quadra CL 301 Bloco B,291,,Santa Maria,Brasília,DF,Geóloga,7393,ATIVO
Carla Jaqueline Daniela Teixeira,593.015.361-29,(61) 98720-4156,carla-teixeira88@platinium.com.br,Quadra AOS 8,703,,Área Octogonal,Brasília,DF,Gestora Financeira,15425,ATIVO
Carlos Renato Benício Ferreira,434.475.011-03,(61) 98110-2681,carlosrenatoferreira@tjam.jus.br,Quadra QS 11 Conjunto G,202,AP 134,Areal (Águas Claras),Brasília,DF,Servidor Público,19112,ATIVO
Isabel Sônia Ramos,066.651.591-32,(61) 98341-1522,isabel-ramos96@zipmail.com,Residencial Vitória Rua 3,756,,Residencial Vitória (São Sebastião),Brasília,DF,Servidora Pública,12024,ATIVO
Pietro Henry Felipe Dias,868.069.031-77,(61) 98686-3695,pietro-dias73@raioazul.com.br,Quadra SHIGS 712 Bloco M,575,APTO D 308,Asa Sul,Brasília,DF,Empresário,17510,SUSPENSO
Diego Pedro Henrique Nascimento,671.747.389-40,(47) 98804-9671,diego_nascimento@metroquali.com.br,Rua Mathilde Drefahl,143,ap e-306,Floresta,Joinville,SC,Jornalista,12774,ATIVO
Emily Vera Marcela Silveira,637.504.219-43,(71) 99957-8435,emily.vera.silveira@trimempresas.com.br,Rua San Martins,741,,Santo Antônio,Candeias,BA,Empresária,10258,ATIVO
Osvaldo Nicolas Isaac Corte Real,923.397.282-82,(63) 99189-9262,osvaldonicolascortereal@academiagolf.com.br,Rua 8,508,,Jardim Santa Bárbara,Palmas,TO,Empresário,8471,ATIVO
César Ryan Fernandes,625.882.388-23,(53) 99962-1753,cesar_fernandes@vipsaude.com.br,Rua Cento e Sessenta e Oito,507,,Vila São Jorge,Rio Grande,RS,Enfermeiro,4099,ATIVO
Sabrina Malu Silva,096.855.962-04,(86) 98135-1648,sabrina-silva89@mx.labinal.com,Rua Domingos Dias da Silva,280,,Conselheiro Alberto Silva,Parnaíba,PI,Médica,16509,SUSPENSO
Elaine Caroline Pires,413.593.224-00,(54) 99538-6923,elaine-pires70@dye.com.br,Rua José Carvalho Belardinelli,125,apto. 22,São José,Caxias do Sul,RS,Empresária,19274,SUSPENSO
